datetime,aqi,pm2_5,pm10,co,no2,o3,so2,month,quarter,hour,season,tmp,v850,t925,p,t750,v750,v500,u850,u925,u750,u,t500,v,v925,t995,rh,u500,t850
2017-11-19 23:00:00,160.0,122.0,137.0,1.6,79.0,2.0,3.0,11,4,23,fall,-0.7596435546879999,-10.7000579834,-12.879302978499998,102388.3125,-27.8500213623,-11.101556777999999,-9.57700252533,8.536860466,7.789125919339999,8.58568096161,0.8985937237739999,-53.549987793,0.7675414681430001,-12.422272682200001,0.959381103516,18.271215438800002,36.207824707,-18.744812011700002
2017-11-20 02:00:00,160.0,122.0,139.0,2.4,86.0,3.0,3.0,11,4,2,fall,-1.63461303711,-11.6810398102,-12.489349365199999,102401.648438,-27.3500213623,-13.183441162100001,-16.497900009200002,9.30536365509,7.671547889710001,10.937013626099999,0.251240223646,-55.449996948199995,-0.18681883812,-11.4911499023,0.655853271484,19.0,28.1000404358,-18.132064819300002
2017-11-20 05:00:00,156.0,119.0,142.0,2.4,77.0,2.0,3.0,11,4,5,fall,-1.9923095703099998,-13.209021568299999,-12.0171508789,102459.179688,-26.8500213623,-15.8739748001,-20.058227539100002,9.66231441498,7.51423549652,12.3769369125,0.060427244752599994,-56.3193511963,-0.18062254786499998,-11.2891769409,0.39031982421899997,19.6000003815,26.8179683685,-17.6422271729
2017-11-20 08:00:00,143.0,109.0,147.0,2.2,66.0,2.0,2.0,11,4,8,fall,-0.600006103516,-12.5480718613,-11.5164794922,102531.304688,-26.450012206999997,-15.130914688099999,-19.4095039368,9.55078792572,6.76620340347,11.975494384800001,0.724995076656,-56.7500152588,0.276352524757,-10.732572555499999,0.563446044922,19.3999996185,26.7121257782,-17.4468688965
2017-11-20 11:00:00,165.0,125.0,161.0,2.6,116.0,6.0,12.0,11,4,11,fall,5.56597900391,-9.71536064148,-10.921081543,102545.023438,-26.1500091553,-10.964972496,-15.461010932899999,8.69840526581,6.50646972656,10.031826973,1.03798091412,-56.7500152588,0.132497549057,-8.77366447449,4.33605957031,14.8746061325,27.469800949099998,-16.821899414100002
2017-11-20 14:00:00,112.0,84.0,111.0,1.3,100.0,16.0,10.0,11,4,14,fall,8.90258789062,-8.338911056519999,-10.1304016113,102313.507812,-25.5500183105,-7.99227905273,-9.44369506836,10.1406316757,8.330785751339999,10.5179233551,0.786054670811,-56.5451049805,2.44162583351,-7.4888720512399995,7.8395996093800004,12.199999809300001,27.6443939209,-16.3500061035
2017-11-20 17:00:00,135.0,103.0,157.0,1.3,57.0,48.0,12.0,11,4,17,fall,5.52648925781,-6.05646944046,-8.83990478516,102180.273438,-25.1500091553,-4.95063495636,-5.671118259430001,10.0825214386,7.07111549377,11.3044071198,1.2381542921100002,-56.049987793,2.6533691883099997,-6.1868309974699995,6.977691650389999,15.0998296738,26.6333312988,-15.949981689500001
2017-11-20 20:00:00,180.0,136.0,158.0,1.8,96.0,2.0,4.0,11,4,20,fall,3.36099243164,-3.8421092033399997,-8.646179199219999,102170.90625,-25.7499847412,-3.89998173714,-4.90000629425,10.2580757141,7.695585727689999,12.5530033112,1.47193109989,-56.1500091553,2.44370365143,-2.9948339462299995,4.77590942383,19.8000011444,29.0485973358,-16.25
2017-11-20 23:00:00,172.0,130.0,151.0,1.8,89.0,2.0,4.0,11,4,23,fall,2.28146362305,-1.58149409294,-8.21380615234,102115.460938,-26.549987793000003,-1.49656379223,-5.500110149380001,10.4157953262,8.708984375,12.9136991501,0.988779246807,-55.09425354,2.7642090320599997,-0.0238232407719,3.58026123047,26.1000003815,32.3398857117,-16.4682617188
2017-11-21 02:00:00,189.0,142.0,146.0,1.8,83.0,2.0,3.0,11,4,2,fall,0.862274169922,1.52182614803,-8.37841796875,102000.539062,-26.6500091553,0.719995141029,-6.9999756813,13.476035118099999,11.3492164612,15.83847332,0.735744595528,-54.1500091553,1.9226000309,1.7395458221400002,2.2442626953099998,32.7999992371,34.508960723899996,-16.5409240723
2017-11-21 05:00:00,189.0,142.0,178.0,2.8,104.0,3.0,5.0,11,4,5,fall,-0.520874023438,4.028803825380001,-8.79821777344,101857.21875,-24.8500213623,-2.54644775391,-4.67322397232,17.2367553711,13.929535865799998,20.910425186199998,-0.0639282241464,-54.4023132324,1.1320360899,3.0198144912700005,1.1029357910200002,41.2000007629,35.7429504395,-16.7280578613
