datetime,tmp,v850,t925,p,t750,v750,v500,u850,u925,u750,u,t500,v,v925,t995,rh,u500,t850
2015-10-22 02:00:00,10.75,5.2,5.25,102117.0,0.650024,7.1,-0.19,1.2,-5.4,8.3,-0.81,-13.95,-1.76,2.0,10.49,55.1,21.6,3.55002
2015-10-22 05:00:00,9.85001,4.4,4.25,102078.0,0.450012,7.99,-2.66,2.06,-4.8,7.3,0.12,-13.95,-3.45,0.9,9.39999,65.9,20.3,3.75
2015-10-22 08:00:00,9.01999,3.8,3.95001,102200.0,0.450012,5.6,0.42,0.2,-5.37,10.43,-1.63,-14.05,-3.95,0.4,8.39001,69.8,21.1,2.25
2015-10-22 11:00:00,10.89,4.0,4.65002,102123.0,0.350006,1.1,0.32,2.4,-3.4,8.1,-1.52,-13.35,-2.9,1.4,9.95999,60.6,21.3,2.85001
2015-10-22 14:00:00,11.04,3.2,4.55002,101960.0,0.650024,1.0,-1.01,3.6,-1.5,6.8,-1.5,-13.55,-0.49,1.8,10.19,59.6,17.9,3.45001
2015-10-22 17:00:00,11.31,1.4,6.05002,101810.0,1.85001,-1.2,-0.71,2.7,1.21964,5.8,-0.75,-13.05,1.6,1.9,10.65,62.0,17.8,4.35001
2015-10-22 20:00:00,9.95001,1.0,6.25,101803.0,2.05002,1.3,-0.58,1.9,2.5,3.8,1.2,-12.85,1.48,0.3,9.87,69.5,12.3,4.65002
2015-10-22 23:00:00,9.45001,-0.3,7.15002,101719.0,1.75,1.47,0.26,2.28,2.09,4.18,1.44,-13.45,2.48,1.0,9.29999,73.1,9.06,4.95001
2015-10-23 02:00:00,8.95001,-0.7,7.55002,101633.0,1.15002,1.4,2.19,1.1,1.7,4.8,1.38,-13.95,2.18,1.8,8.79001,80.4,12.32,5.25
2015-10-23 05:00:00,8.65002,-1.9,7.85001,101551.0,1.05002,-0.7,1.72,1.2,2.0,5.0,0.55,-14.35,1.21,0.6,8.88,84.9,14.33,5.55002
2015-10-23 08:00:00,9.88,-4.1,8.45001,101524.0,1.35001,-1.2,1.94,4.0,2.8,8.1,1.3,-15.15,1.5,-2.2,9.13,73.7,17.11,5.75
2015-10-23 11:00:00,14.93,-5.2,9.85001,101422.0,2.35001,-4.7,0.75,4.6,3.1,7.8,2.03,-15.75,2.4,-1.6,13.5,53.5,16.8,6.65002
2015-10-23 14:00:00,18.75,-5.6,10.65,101159.0,3.95001,-5.7,-1.6,5.6,3.0,6.2,2.4,-16.05,3.7,1.2,17.34,39.8,16.4,7.35001
2015-10-23 17:00:00,16.31,-7.6,12.85,101138.0,4.05002,-7.5,-3.9,4.5,2.2,2.9,2.06,-16.75,3.82,0.0,16.28,52.4,16.1,8.95001
2015-10-23 20:00:00,12.65,-7.3,13.65,101290.0,3.45001,-7.0,-3.5,2.4,3.0,-0.3,3.2,-16.85,2.8,-0.3,13.08,70.8,18.2,9.75
